c-ares,c++,ares_create_query_fuzzer
c-blosc,c++,compress_fuzzer
c-blosc2,c++,compress_frame_fuzzer
cgif,c,cgif_fuzzer
circl,c++,cryptofuzz
cjson,c++,cjson_read_fuzzer
cmark,c++,cmark_fuzzer
coturn,c,FuzzStun
cpp-httplib,c++,server_fuzzer
cpython3,c++,fuzz_sre_match
croaring,c,croaring_fuzzer
crow,c++,request_fuzzer
cryptofuzz,c++,cryptofuzz-openssl-noasm
cryptsetup,c,crypt2_load_ondisk_fuzz
curl,c++,curl_fuzzer
cyclonedds,c,fuzz_handle_rtps_message
dng_sdk,c++,dng_stage_fuzzer
dropbear,c++,fuzzer-kexcurve25519
edk2,c,TestFmpAuthenticationLibPkcs7
exiv2,c++,fuzz-read-print-write
file,c++,magic_fuzzer_fd
fio,c++,fuzz_parseini
flac,c++,fuzzer_decoder
fluent-bit,c++,flb-it-fuzz-flb_mp_fuzzer_OSSFUZZ
freetype2,c++,windowsfnt-render
gdal,c++,srp_fuzzer
gdbm,c,gdbm_fuzzer
gdk-pixbuf,c,pixbuf_scale_fuzzer
ghostscript,c++,gs_device_ps2write_fuzzer
giflib,c++,egif_target
gnutls,c++,gnutls_private_key_parser_fuzzer
gpsd,c,FuzzPacket
grok,c++,grk_decompress_fuzzer
guetzli,c++,guetzli_fuzzer
h2o,c++,h2o-fuzzer-http3
hdf5,c,h5_read_fuzzer
hermes,c++,fuzzer-jsi-entry
hoextdown,c++,hoedown_fuzzer
hostap,c++,tls-server
hpn-ssh,c++,sshsigopt_fuzz
icu,c++,dtfmtsym_fuzzer
igraph,c,linear_algos_directed
inih,c,inihfuzz
jansson,c++,json_load_dump_fuzzer
janus-gateway,c++,sdp_fuzzer
jbig2dec,c++,jbig2_fuzzer
jq,c,jq_fuzz_compile
karchive,c++,karchive_fuzzer
kcodecs,c++,kcodecs_fuzzer
kimageformats,c++,kimgio_raw_fuzzer
knot-dns,c++,fuzz_packet
krb5,c,fuzz_pac
lame,c++,fuzzer-encoder
lcms,c++,cms_cie_cam02_fuzzer
leptonica,c++,flipdetect_fuzzer
libaom,c++,av1_dec_fuzzer
libarchive,c++,libarchive_fuzzer
libavc,c++,svc_dec_fuzzer
libbpf,c,bpf-object-fuzzer
libcue,c,fuzz
libdwarf,c,fuzz_xuindex
libexif,c++,exif_loader_fuzzer
libfido2,c++,fuzz_netlink
libgd,c++,gd_image_string_fuzzer
libheif,c++,box_fuzzer
libhevc,c++,hevc_dec_fuzzer
libical,c++,libical_extended_fuzzer
libidn,c++,libidn_stringprep_fuzzer
libidn2,c++,libidn2_to_unicode_8z8z_fuzzer
libjpeg-turbo,c,transform_fuzzer_dev
libjxl,c++,rans_fuzzer
libldac,c++,libldac_encode_fuzzer
liblouis,c,table_fuzzer
libmodbus,c,FuzzServer
libmpeg2,c++,mpeg2_dec_fuzzer
libplist,c++,bplist_fuzzer
libpsl,c++,libpsl_idn_load_fuzzer
libraw,c++,libraw_raf_fuzzer
libreoffice,c++,pptxfuzzer
libressl,c++,asn1parse
libspectre,c++,spectre_read_fuzzer
libspng,c++,spng_read_fuzzer_structure_aware
libsrtp,c++,srtp-fuzzer
libssh,c,ssh_privkey_fuzzer
libtasn1,c++,libtasn1_parser2tree_fuzzer
libtiff,c++,tiff_read_rgba_fuzzer
libtorrent,c++,torrent_info
libtpms,c++,fuzz
libvnc,c++,fuzz_server
libvpx,c++,vpx_dec_fuzzer_vp9
libxls,c++,fuzz_xls
libxlsxwriter,c,xlsx_fuzzer
libxml2,c++,lint
libxslt,c++,xslt
libyal,c,libvsbsdl_partition_fuzzer
libyaml,c++,libyaml_reformatter_alt_fuzzer
libzip,c++,zip_read_file_fuzzer
libzmq,c++,test_bind_null_fuzzer
llamacpp,c++,fuzz_grammar
lldpd,c,fuzz_cdp
llvm,c++,llvm-opt-fuzzer--x86_64-loop_unswitch
lodepng,c++,lodepng_fuzzer
lua,c,luaL_buffaddr_test
lwan,c++,template_fuzzer
lzma,c++,lzmaenc_fuzzer
lzo,c++,all_lzo_compress
matio,c++,matio_fuzzer
mbedtls,c++,fuzz_privkey
mdbtools,c,fuzz_mdb
mercurial,c++,jsonescapeu8fast_fuzzer
miniz,c,compress_fuzzer
minizip,c++,unzip_fuzzer
monero,c++,load-from-json_fuzz_tests
mosh,c++,terminal_parser_fuzzer
mruby,c++,mruby_proto_fuzzer
msgpack-c,c++,unpack_pack_fuzzer
ms-tpm-20-ref,c,tpm_cmd
mupdf,c++,pdf_fuzzer
ndpi,c++,fuzz_ndpi_reader_pl7m_simplest
neomutt,c++,address-fuzz
nestegg,c++,fuzz
net-snmp,c++,read_objid_fuzzer
