cairo,c,svg-render-fuzzer pdf_surface_fuzzer surface_write_png_fuzzer raster_fuzzer text_glyphs_fuzzer
c-ares,c++,ares_parse_reply_fuzzer ares_create_query_fuzzer
c-blosc,c++,decompress_fuzzer compress_fuzzer
c-blosc2,c++,decompress_chunk_fuzzer compress_chunk_fuzzer decompress_frame_fuzzer compress_frame_fuzzer
cgif,c,cgif_fuzzer
cifuzz-example,c++,do_stuff_fuzzer
circl,c++,cryptofuzz
cjson,c++,cjson_read_fuzzer
cmake,c,xml_parser_fuzzer
cmark,c++,cmark_fuzzer
coturn,c,FuzzStunClient FuzzStun
cpp-httplib,c++,server_fuzzer
cpython3,c++,fuzz_pycompile fuzz_builtin_unicode fuzz_json_loads fuzz_elementtree_parsewhole fuzz_struct_unpack fuzz_ast_literal_eval fuzz_builtin_float fuzz_sre_match fuzz_builtin_int fuzz_sre_compile fuzz_csv_reader
croaring,c,croaring_fuzzer_cc croaring_fuzzer
crow,c++,template_fuzzer b64_fuzzer request_fuzzer
cryptofuzz,c++,cryptofuzz-boringssl-noasm cryptofuzz-openssl-noasm cryptofuzz-boringssl cryptofuzz-nss cryptofuzz-openssl
cryptsetup,c,crypt2_load_ondisk_fuzz crypt2_load_fuzz crypt2_load_proto_plain_json_fuzz
curl,c++,curl_fuzzer_http curl_fuzzer_gopher curl_fuzzer_rtsp curl_fuzzer_pop3 curl_fuzzer_https curl_fuzzer_ws curl_fuzzer curl_fuzzer_smtp curl_fuzzer_ftp curl_fuzzer_tftp curl_fuzzer_bufq curl_fuzzer_file curl_fuzzer_dict curl_fuzzer_imap fuzz_url curl_fuzzer_mqtt curl_fuzzer_smb
cyclonedds,c,fuzz_config_init fuzz_type_object fuzz_handshake fuzz_handle_rtps_message fuzz_security_deser fuzz_sample_deser
dng_sdk,c++,dng_fixed_validate_fuzzer dng_parser_fuzzer dng_camera_profile_fuzzer dng_stage_fuzzer dng_validate_fuzzer
dropbear,c++,fuzzer-client fuzzer-postauth_nomaths fuzzer-kexecdh fuzzer-pubkey fuzzer-preauth_nomaths fuzzer-verify fuzzer-cliconf fuzzer-preauth fuzzer-client_nomaths fuzzer-kexdh fuzzer-kexcurve25519
edk2,c,TestPeiUsb TestFmpAuthenticationLibRsa2048Sha256 TestFmpAuthenticationLibPkcs7 TestPartition TestUdf TestBmpSupportLib TestTpm2CommandLib
exiv2,c++,fuzz-read-print-write
file,c++,magic_fuzzer_loaddb magic_fuzzer_fd magic_fuzzer
fio,c++,fuzz_parseini
flac,c++,fuzzer_decoder fuzzer_tool_flac fuzzer_tool_metaflac fuzzer_seek fuzzer_encoder_v2 fuzzer_encoder fuzzer_metadata fuzzer_reencoder fuzzer_exo
